RCP,city,year,value
85,Madrid,2067,45.5863189697266
85,Madrid,2068,46.6896095275879
85,Madrid,2069,47.6110000610352
85,Madrid,2070,48.3570175170898
85,Madrid,2071,49.201904296875
85,Madrid,2072,50.219554901123
85,Madrid,2073,50.8853073120117
85,Madrid,2074,51.819393157959
85,Madrid,2075,52.8578796386719
85,Madrid,2076,53.4880676269531
85,Madrid,2077,54.4762840270996
85,Madrid,2078,55.7582931518555
85,Madrid,2079,56.9672737121582
85,Madrid,2080,58.102954864502
85,Madrid,2081,58.6090049743652
85,Madrid,2082,59.109317779541
85,Madrid,2083,60.1665077209473
85,Madrid,2084,61.0727195739746
85,Madrid,2085,61.6106033325195
85,Berlin,1986,3.59421682357788
85,Berlin,1987,3.70673489570618
85,Berlin,1988,3.7392373085022
85,Berlin,1989,3.78756475448608
85,Berlin,1990,3.87002873420715
85,Berlin,1991,4.093337059021
85,Berlin,1992,4.16666460037231
85,Berlin,1993,4.27501678466797
85,Berlin,1994,4.53414297103882
85,Berlin,1995,4.6124587059021
85,Berlin,1996,4.74746465682983
85,Berlin,1997,4.87412643432617
85,Berlin,1998,4.72997522354126
85,Berlin,1999,4.75244188308716
85,Berlin,2000,5.20659923553467
85,Berlin,2001,5.32245397567749
85,Berlin,2002,5.51328945159912
85,Berlin,2003,5.45992517471313
85,Berlin,2004,5.27665138244629
85,Berlin,2005,5.41912126541138
85,Berlin,2006,5.46076917648315
85,Berlin,2007,5.50659275054932
85,Berlin,2008,5.53994512557983
85,Berlin,2009,5.55078220367432
85,Berlin,2010,5.66744041442871
85,Berlin,2011,6.07653665542603
85,Berlin,2012,6.18321657180786
85,Berlin,2013,6.4499020576477
85,Berlin,2014,6.50738573074341
85,Berlin,2015,6.5607008934021
85,Berlin,2016,6.71487712860107
85,Berlin,2017,6.6723222732544
85,Berlin,2018,6.96400785446167
85,Berlin,2019,7.13485097885132
85,Berlin,2020,7.29150295257568
85,Berlin,2021,7.20152807235718
85,Berlin,2022,7.26487922668457
85,Berlin,2023,7.20487356185913
85,Berlin,2024,6.98156499862671
85,Berlin,2025,7.17662572860718
85,Berlin,2026,7.10078430175781
85,Berlin,2027,7.12493419647217
85,Berlin,2028,7.55153894424438
85,Berlin,2029,7.6432056427002
85,Berlin,2030,7.56152582168579
85,Berlin,2031,7.59066390991211
85,Berlin,2032,7.64983892440796
85,Berlin,2033,7.71984004974365
85,Berlin,2034,7.79233646392822
85,Berlin,2035,7.8948974609375
85,Berlin,2036,8.21988677978516
85,Berlin,2037,8.43986892700195
85,Berlin,2038,8.49404525756836
85,Berlin,2039,8.79737949371338
85,Berlin,2040,9.09813213348389
85,Berlin,2041,9.58318710327148
85,Berlin,2042,9.84065914154053
85,Berlin,2043,10.1764583587646
85,Berlin,2044,10.3414602279663
85,Berlin,2045,10.3673210144043
85,Berlin,2046,10.7455987930298
85,Berlin,2047,10.9214296340942
85,Berlin,2048,10.8880767822266
85,Berlin,2049,11.1080589294434
85,Berlin,2050,11.3005657196045
85,Berlin,2051,11.2872142791748
85,Berlin,2052,11.673023223877
85,Berlin,2053,11.9146900177002
85,Berlin,2054,12.3697166442871
85,Berlin,2055,12.4355030059814
85,Berlin,2056,13.0196676254272
85,Berlin,2057,13.4355602264404
85,Berlin,2058,13.4347677230835
85,Berlin,2059,13.7472286224365
85,Berlin,2060,13.8013944625854
85,Berlin,2061,14.130521774292
85,Berlin,2062,14.3646945953369
85,Berlin,2063,15.1155462265015
85,Berlin,2064,15.3188724517822
85,Berlin,2065,15.6362829208374
85,Berlin,2066,15.786283493042
85,Berlin,2067,16.0688648223877
85,Berlin,2068,16.5129661560059
85,Berlin,2069,16.7846622467041
85,Berlin,2070,16.9822368621826
85,Berlin,2071,16.5880565643311
85,Berlin,2072,16.8464183807373
85,Berlin,2073,16.9065113067627
85,Berlin,2074,17.0256443023682
85,Berlin,2075,17.8222789764404
85,Berlin,2076,17.9814338684082
85,Berlin,2077,18.3014640808105
85,Berlin,2078,18.7814807891846
85,Berlin,2079,19.4265308380127
85,Berlin,2080,19.8881702423096
85,Berlin,2081,20.382381439209
85,Berlin,2082,20.5898914337158
85,Berlin,2083,20.7298851013184
85,Berlin,2084,20.855640411377
85,Berlin,2085,20.9606781005859
45,Athens,1986,4.72846698760986
45,Athens,1987,5.02763414382935
45,Athens,1988,5.23133134841919
45,Athens,1989,5.04108905792236
45,Athens,1990,5.18243741989136
45,Athens,1991,5.26165008544922
45,Athens,1992,5.36868000030518
45,Athens,1993,5.42448234558105
45,Athens,1994,5.68055820465088
45,Athens,1995,5.7141489982605
45,Athens,1996,5.79251289367676
45,Athens,1997,5.95522451400757
45,Athens,1998,6.01828575134277
45,Athens,1999,5.96072483062744
45,Athens,2000,6.12295246124268
45,Athens,2001,6.39640712738037
45,Athens,2002,6.63439226150513
45,Athens,2003,6.98414993286133
45,Athens,2004,7.27413463592529
45,Athens,2005,7.34719514846802
45,Athens,2006,7.39424133300781
45,Athens,2007,7.66789293289185
45,Athens,2008,7.78507471084595
45,Athens,2009,7.99113512039185
45,Athens,2010,8.0874080657959
45,Athens,2011,8.65199851989746
45,Athens,2012,8.59871101379395
45,Athens,2013,8.77663612365723
45,Athens,2014,9.03786277770996
45,Athens,2015,9.211256980896
45,Athens,2016,9.41306018829346
45,Athens,2017,9.60407447814941
45,Athens,2018,9.59566497802734
45,Athens,2019,9.94381713867188
45,Athens,2020,10.144907951355
45,Athens,2021,10.4176816940308
45,Athens,2022,10.860728263855
45,Athens,2023,11.1997747421265
45,Athens,2024,11.3467445373535
45,Athens,2025,11.5867443084717
45,Athens,2026,12.1113815307617
45,Athens,2027,12.3609580993652
45,Athens,2028,12.7401552200317
45,Athens,2029,13.0966854095459
45,Athens,2030,13.0950345993042
45,Athens,2031,13.4825201034546
45,Athens,2032,13.7978382110596
45,Athens,2033,14.1502323150635
45,Athens,2034,14.28391456604
45,Athens,2035,14.6513252258301
45,Athens,2036,15.476674079895
45,Athens,2037,15.5553712844849
45,Athens,2038,16.2169780731201
45,Athens,2039,16.5428276062012
45,Athens,2040,17.1691913604736
45,Athens,2041,17.2495555877686
45,Athens,2042,17.9748287200928
45,Athens,2043,18.104736328125
45,Athens,2044,18.3562088012695
45,Athens,2045,18.5339660644531
45,Athens,2046,18.9780578613281
45,Athens,2047,19.0563011169434
45,Athens,2048,19.4637260437012
45,Athens,2049,20.1451511383057
45,Athens,2050,20.477029800415
45,Athens,2051,20.5961513519287
45,Athens,2052,20.8994693756104
45,Athens,2053,21.3365154266357
45,Athens,2054,21.2462882995605
45,Athens,2055,21.4231224060059
45,Athens,2056,21.2955322265625
45,Athens,2057,21.7064266204834
45,Athens,2058,21.917459487915
45,Athens,2059,22.136079788208
45,Athens,2060,22.7338981628418
45,Athens,2061,22.7553539276123
45,Athens,2062,22.876974105835
45,Athens,2063,23.1089916229248
