"city","year","value"
"Athens","2070",171.509094238281
"Athens","2071",171.664657592773
"Athens","2072",171.763778686523
"Athens","2073",172.498291015625
"Athens","2074",172.581237792969
"Athens","2075",173.339569091797
"Athens","2076",173.229736328125
"Athens","2077",173.265045166016
"Athens","2078",173.414215087891
"Athens","2079",174.144180297852
"Athens","2080",174.059783935547
"Athens","2081",174.037063598633
"Athens","2082",175.52912902832
"Athens","2083",175.574264526367
"Athens","2084",175.672866821289
"Athens","2085",175.656188964844
"Barcelona","1986",162.414154052734
"Barcelona","1987",163.925506591797
"Barcelona","1988",163.971038818359
"Barcelona","1989",164.129058837891
"Barcelona","1990",164.010513305664
"Barcelona","1991",163.299057006836
"Barcelona","1992",164.663223266602
"Barcelona","1993",164.767700195312
"Barcelona","1994",164.743057250977
"Barcelona","1995",164.606735229492
"Barcelona","1996",163.608444213867
"Barcelona","1997",163.539337158203
"Barcelona","1998",163.240707397461
"Barcelona","1999",163.423294067383
"Barcelona","2000",164.023559570312
"Barcelona","2001",164.782806396484
"Barcelona","2002",165.502319335938
"Barcelona","2003",165.618545532227
"Barcelona","2004",165.550994873047
"Barcelona","2005",166.424774169922
"Barcelona","2006",166.321487426758
"Barcelona","2007",166.246170043945
"Barcelona","2008",166.41796875
"Barcelona","2009",166.193542480469
"Barcelona","2010",166.458633422852
"Barcelona","2011",166.636352539062
"Barcelona","2012",166.781402587891
"Barcelona","2013",168.384552001953
"Barcelona","2014",167.419418334961
"Barcelona","2015",167.463409423828
"Barcelona","2016",167.640686035156
"Barcelona","2017",167.326614379883
"Barcelona","2018",167.479370117188
"Barcelona","2019",167.433013916016
"Barcelona","2020",167.599685668945
"Barcelona","2021",168.445907592773
"Barcelona","2022",167.878372192383
"Barcelona","2023",168.053894042969
"Barcelona","2024",168.235595703125
"Barcelona","2025",168.493438720703
"Barcelona","2026",169.599578857422
"Barcelona","2027",169.617950439453
"Barcelona","2028",169.953521728516
"Barcelona","2029",169.96028137207
"Barcelona","2030",170.092041015625
"Barcelona","2031",169.757827758789
"Barcelona","2032",169.863967895508
"Barcelona","2033",169.998748779297
"Barcelona","2034",170.015014648438
"Barcelona","2035",170.031997680664
"Barcelona","2036",170.135452270508
"Barcelona","2037",170.931289672852
"Barcelona","2038",170.806427001953
"Barcelona","2039",171.03759765625
"Barcelona","2040",170.943008422852
"Barcelona","2041",171.616607666016
"Barcelona","2042",171.731216430664
"Barcelona","2043",171.014541625977
"Barcelona","2044",171.966003417969
"Barcelona","2045",171.188674926758
"Barcelona","2046",171.275375366211
"Barcelona","2047",171.704544067383
"Barcelona","2048",171.722442626953
"Barcelona","2049",170.997177124023
"Barcelona","2050",171.055511474609
"Barcelona","2051",171.080810546875
"Barcelona","2052",170.346389770508
"Barcelona","2053",170.316604614258
"Barcelona","2054",170.235641479492
"Barcelona","2055",170.53564453125
"Barcelona","2056",170.575729370117
"Barcelona","2057",170.690505981445
"Barcelona","2058",170.813186645508
"Barcelona","2059",170.681121826172
"Barcelona","2060",170.71533203125
"Barcelona","2061",171.028884887695
"Barcelona","2062",171.119445800781
"Barcelona","2063",171.13818359375
"Barcelona","2064",171.259017944336
"Barcelona","2065",171.171340942383
"Barcelona","2066",171.266296386719
"Barcelona","2067",171.286819458008
"Barcelona","2068",171.383651733398
"Barcelona","2069",171.439407348633
"Barcelona","2070",171.509094238281
"Barcelona","2071",171.664657592773
"Barcelona","2072",171.763778686523
"Barcelona","2073",172.498291015625
"Barcelona","2074",172.581237792969
"Barcelona","2075",173.339569091797
"Barcelona","2076",173.229736328125
"Barcelona","2077",173.265045166016
"Barcelona","2078",173.414215087891
"Barcelona","2079",174.144180297852
"Barcelona","2080",174.059783935547
"Barcelona","2081",174.037063598633
"Barcelona","2082",175.52912902832
"Barcelona","2083",175.574264526367
"Barcelona","2084",175.672866821289
"Barcelona","2085",175.656188964844
"Paris","1986",162.414154052734
"Paris","1987",163.925506591797
"Paris","1988",163.971038818359
"Paris","1989",164.129058837891
"Paris","1990",164.010513305664
"Paris","1991",163.299057006836
"Paris","1992",164.663223266602
"Paris","1993",164.767700195312
"Paris","1994",164.743057250977
"Paris","1995",164.606735229492
"Paris","1996",163.608444213867
"Paris","1997",163.539337158203
"Paris","1998",163.240707397461
