"city","year","value"
"London","1989",3.86985111236572
"London","1990",4.09460210800171
"London","1991",4.10311698913574
"London","1992",4.17163515090942
"London","1993",4.3426456451416
"London","1994",4.4571738243103
"London","1995",4.69043970108032
"London","1996",4.97360038757324
"London","1997",5.13620138168335
"London","1998",5.13605785369873
"London","1999",5.3487057685852
"London","2000",5.68802356719971
"London","2001",5.93201017379761
"London","2002",6.11972522735596
"London","2003",6.11213874816895
"London","2004",6.249596118927
"London","2005",6.42249584197998
"London","2006",6.41840076446533
"London","2007",6.64183664321899
"London","2008",6.77905416488647
"London","2009",6.73567962646484
"London","2010",6.74419450759888
"London","2011",7.03811359405518
"London","2012",7.10253667831421
"London","2013",7.35214424133301
"London","2014",7.30602836608887
"London","2015",7.2893238067627
"London","2016",7.34573841094971
"London","2017",7.18551588058472
"London","2018",7.33106660842896
"London","2019",7.62009716033936
"London","2020",7.48077964782715
"London","2021",7.35567426681519
"London","2022",7.49723529815674
"London","2023",7.47169971466064
"London","2024",7.42159414291382
"London","2025",7.29017925262451
"London","2026",7.16920709609985
"London","2027",7.23310279846191
"London","2028",7.71184349060059
"London","2029",7.71824932098389
"London","2030",7.73502159118652
"London","2031",7.67223882675171
"London","2032",7.72402286529541
"London","2033",7.74268436431885
"London","2034",7.81348419189453
"London","2035",7.98798608779907
"London","2036",8.71484661102295
"London","2037",8.65644550323486
"London","2038",8.73564624786377
"London","2039",9.02706336975098
"London","2040",9.51217174530029
"London","2041",10.0166883468628
"London","2042",10.5432529449463
"London","2043",11.2352066040039
"London","2044",11.7206783294678
"London","2045",11.9225292205811
"London","2046",12.6002416610718
"London","2047",13.2685871124268
"London","2048",13.3191900253296
"London","2049",13.8259973526001
"London","2050",14.3114395141602
"London","2051",14.6554174423218
"London","2052",15.3408889770508
"London","2053",15.7226963043213
"London","2054",16.1960182189941
"London","2055",16.6689548492432
"London","2056",17.317066192627
"London","2057",17.8966960906982
"London","2058",17.9034652709961
"London","2059",18.6006660461426
"London","2060",18.6905860900879
"London","2061",19.3158740997314
"London","2062",19.844690322876
"London","2063",20.7864627838135
"London","2064",21.1154899597168
"London","2065",21.5036659240723
"London","2066",21.6934795379639
"London","2067",22.335319519043
"London","2068",23.2980346679688
"London","2069",23.6632137298584
"London","2070",23.619800567627
"London","2071",23.6377830505371
"London","2072",24.1425189971924
"London","2073",24.3320484161377
"London","2074",24.7532024383545
"London","2075",25.7385292053223
"London","2076",25.8063011169434
"London","2077",26.2106456756592
"London","2078",27.0165920257568
"London","2079",27.6825103759766
"London","2080",28.4723930358887
"London","2081",28.9639930725098
"London","2082",28.9263153076172
"London","2083",29.7658824920654
"London","2084",30.6074810028076
"London","2085",31.3472213745117
"Milan","1986",3.37965607643127
"Milan","1987",3.49795508384705
"Milan","1988",3.61394929885864
"Milan","1989",3.44838118553162
